Reviewer,Paper name,URL,Conference,Year,DHS funding,Origin,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Main Category,Sub Category,Note,citeNum
Muwei,Exit from Hell? Reducing the Impact of Amplification DDoS Attacks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kuhrer,USENIX,2014,No,Create Primary,"We run two separated TCP scans to mimic both behaviors. In total, 66,785,451 HTTP hosts, 23,519,493 Telnet hosts, and 1,845,346 CUPS hosts replied to our requests.",No,No,/,Research,Macro-level Internet Characteristics,Network Traces,,71
Muwei,A Comprehensive Measurement Study of Domain Generating Malware',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/plohmann,USENIX,2016,No,Create Primary,"Taking data of 3 months starting in May 2015 from this feed, we examined a total of 1,235,443 sandbox runs, performing a total of 15,660,256 DNS queries to- wards 959,607 unique domain names.",No,No,/,Research,Macro-level Internet Characteristics,Topology,,6
Muwei,On the Feasibility of Large-Scale Infections of iOS Devices.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang_tielei,USENIX,2014,Yes,Create Primary,"We collected and built a pas- sive DNS database for the same days, from the same lo- cations as the DNS query dataset to provide visibility of other types of DNS records.",No,No,/,Research,Macro-level Internet Characteristics,Topology,,11
Muwei,"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,USENIX,2014,No,Create Primary,We collect DNS data to explore the background infrastructure serving these domains.,No,No,/,Research,Macro-level Internet Characteristics,Topology,,29
Muwei,A Measurement Study on Co-residence Threat inside the Cloud,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/xu,USENIX,2015,No,Create Primary,"Trace-routing from our instances to over 650,000 target instances takes more than 8 days",No,No,/,Research,Macro-level Internet Characteristics,Topology,,31
Muwei,RAPTOR: Routing Attacks on Privacy in Tor,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-sun.pdf,USENIX,2015,No,Create Primary,"Attack Tor and measure the actual forwarding path taken by packets entering and exiting the Tor network. 62500 totally possible Tor circuits. #2. 612+ million BGP updates per-taining to 550,000 IP prefixes collected by six RIPE- maintained BGP Looking Glass",Yes,No,https://collector.torproject.org,Research,Macro-level Internet Characteristics,Topology,,49
Muwei,To Pin or Not to Pin乢_暑_蕽Helping App Developers Bullet Proof Their TLS Connections,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-oltrogge.pdf,USENIX,2015,No,Create Primary,"we instrument telemetry data from a popular anti-virus software provider. We evaluate the update behaviour of 871,911 unique users from January 2014 to December 2014",No,No,/,Research,Users & Organizations Characteristics,User Activities,,17
Muwei,Vulnerability Disclosure in the Age of Social Media: Exploiting Twitter for Predicting Real-World Exploits,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/sabottke,USENIX,2015,No,Create Primary,"We collect data over a period of one year, from Febru- ary 2014 to January 2015. Out of the 1.1 billion tweets collected during this period, 287,717 contain explicit ref- erences to CVE IDs",No,No,/,Research,Users & Organizations Characteristics,User Activities,,18
Muwei,De-anonymizing Programmers via Code Stylometry,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-caliskan-islam.pdf,USENIX,2015,No,Create Primary,"We collected a larger dataset of 1,600 programmers from various years. Each of the programmers had 9 source code samples.",No,No,/,Research,Users & Organizations Characteristics,User Activities,,28
Muwei,Telepathwords: Preventing Weak Passwords by Reading Users' Minds.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/komanduri,USENIX,2014,No,Create Primary,"We recruited participants from Amazon_蔩s Mechanical Turk by listing a Human Intelligence Task (HIT) in which we offered 55 cents to _蔩Take a 5-minute survey with 70-cent bonus opportunity!_蕽 We recruited 2,844 workers to accept our HIT for part one of our study. Of these, 2,560 finished, received payment, and received invitations to return two days later. A total of 1,627 participants (64%) returned for the second HIT within three days of when we sent their invitation.",No,No,/,Research,Users & Organizations Characteristics,User Activities,,35
Muwei,Telepathwords: Preventing Weak Passwords by Reading Users' Minds.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/komanduri,USENIX,2014,No,Create Primary,We downloaded our encrypted logs to a researcher_蔩s workstation for decryption and analysis.,No,No,/,Research,Users & Organizations Characteristics,User Activities,,35
Muwei,Towards Detecting Anomalous User Behavior in Online Social Networks,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/viswanath,USENIX,2014,No,Create Primary,collect data for over 6.8K users using real-world ground-truth data about normal and anomalous user behavior on Facebook.,No,No,/,Research,Users & Organizations Characteristics,User Activities,,79
Muwei,Towards Detecting Anomalous User Behavior in Online Social Networks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/viswanath,USENIX,2014,No,Create Primary,"For our second dataset, we use the random sampling of Facebook users described in Section 4.1.",Yes,No,/,Research,Users & Organizations Characteristics,User Activities,,79
Muwei,The Million-Key Question乢_暑_蕽Investigating the Origins of RSA Public Keys,https://www.usenix.org/system/files/conference/usenixsecurity16/sec16_paper_svenda.pdf,USENIX,2016,No,Create Primary,"analysed over 60 million freshly generated key pairs from 22 open- and closedsource libraries and from 16 different smartcards, revealing significant leakage",No,No,/,Research,Users & Organizations Characteristics,User Information,,5
Muwei,Measuring Real-World Accuracies and Biases in Modeling Password Guessability,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/ur,USENIX,2015,No,Create Primary,we leverage passwords that our group col- lected for prior studies of password-composition poli- cies,No,No,/,Research,Users & Organizations Characteristics,User Information,,45
Muwei,Man vs. Machine: Practical Adversarial Detection of Malicious Crowdsourcing Workers.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang,USENIX,2014,No,Create Primary,"We need a base- line dataset of _蔩normal_蕽 users for comparison. We start by snowball sampling a large collection of Weibo ac- counts4. We ran breadth-first search (BFS) in November 2012 using 100 Seeds randomly chosen from Weibo_蔩s public tweet stream, giving us 723K accounts.",No,No,/,Research,Users & Organizations Characteristics,User Information,,67
Muwei,To Pin or Not to Pin乢_暑_蕽Helping App Developers Bullet Proof Their TLS Connections,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-oltrogge.pdf,USENIX,2015,No,Create Primary,We there- fore collected feedback from 45 developers of apps for which we would recommend pinning.,No,No,/,Research,Users & Organizations Characteristics,User Opinions,,17
Muwei,Investigating the Computer Security Practices and Needs of Journalists,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/mcgregor,USENIX,2015,No,Create Primary,We interviewed 15 journalists employed in a range of well-respected journalistic institutions in the United States and France,No,No,/,Research,Users & Organizations Characteristics,User Opinions,,21
Muwei,An Internet-Wide View of Internet-Wide Scanning,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/durumeric,USENIX,2014,Yes,Create Primary,We investigate the 25 most aggressive scanners and find several examples of both academic research scans and likely malicious groups performing repeated scans.,No,No,/,Research,Users & Organizations Characteristics,User Opinions,,56
Muwei,Towards Detecting Anomalous User Behavior in Online Social Networks,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/viswanath,USENIX,2014,No,Create Primary,"collected the publicly visible like and Timeline [34] activity of 13,991 users over the 26 month period ending in August 2013",No,No,/,Research,Users & Organizations Characteristics,User Opinions,,79
Muwei,Towards Detecting Anomalous User Behavior in Online Social Networks.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/viswanath,USENIX,2014,No,Create Primary,"A compromise between the two extremes is our third dataset: a 1-hop crawl of the social-neighborhood of the authors (a total of 1,889 users)",No,No,/,Research,Users & Organizations Characteristics,User Opinions,,79
Muwei,On the Feasibility of Large-Scale Infections of iOS Devices.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang_tielei,USENIX,2014,Yes,Existing,We acquired all command and control (C&C) domain names for botnets that Damballa is tracking.,No,No,/,Research,Attacker Related,Attacks,,11
Muwei,"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,USENIX,2014,No,Existing,"To shed light on the malicious use of typo domains, we check the typo domains from the .comzone file against twelve different domain name blacklists. The black lists come from abuse.ch_蔩s list of Zeus and SpyEye servers, malwaredomainlist.com, malwaredomains.com, malwarepatrol.com, Google Safe Browsing, and a commonly used commercial list.",Yes,No,abuse.ch,Industry,Attacker Related,Attacks,,29
Muwei,"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,USENIX,2014,No,Existing,malwaredomains.com,Yes,No,malwaredomains.com,Industry,Attacker Related,Attacks,,29
Muwei,"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,USENIX,2014,No,Existing,malwarepatrol.com,Yes,No,malwarepatrol.com,Industry,Attacker Related,Attacks,,29
Muwei,"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,USENIX,2014,No,Existing,Google SafeBrowsing,Yes,No,https://code.google.com/apis/ safebrowsing/,Industry,Attacker Related,Attacks,,29
Muwei,"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,USENIX,2014,No,Existing,DNS-based black lists,Yes,No,/,Industry,Attacker Related,Attacks,,29
Muwei,Automatically Detecting Vulnerable Websites Before They Turn Malicious,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/soska,USENIX,2014,Yes,Existing,PhishTank,Yes,No,https://www.phishtank.com,Industry,Attacker Related,Attacks,,45
Muwei,Automatically Detecting Vulnerable Websites Before They Turn Malicious,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/soska,USENIX,2014,Yes,Existing,A nearly four-year longitudinal study of search-engine poi- soning.,Yes,No,https://arima.cylab.cmu.edu/rx/,Research,Attacker Related,Attacks,?,45
Muwei,Automatically Detecting Vulnerable Websites Before They Turn Malicious,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/soska,USENIX,2014,Yes,Existing,DNS-BH,Yes,No,http:// www.malwaredomains.com/,Industry,Attacker Related,Attacks,,45
Muwei,Automatically Detecting Vulnerable Websites Before They Turn Malicious,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/soska,USENIX,2014,Yes,Existing,Google SafeBrowsing,Yes,No,https://code.google.com/apis/ safebrowsing/,Industry,Attacker Related,Attacks,,45
Muwei,Automatically Detecting Vulnerable Websites Before They Turn Malicious,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/soska,USENIX,2014,Yes,Existing,hpHosts,Yes,No,http://www. hosts-file.net/,Industry,Attacker Related,Attacks,,45
Muwei,BareCloud: Bare-metal Analysis-based Evasive Malware Detection.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kirat,USENIX,2014,No,Existing,We first built the ground truth dataset of evasive mal- ware and non-evasive malware samples. We received 234 recent and possibly evasive malware samples from a security company.,No,No,/,Industry,Attacker Related,Attacks,evaluation,78
Muwei,Evilcohort: detecting communities of malicious accounts on online services,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-stringhini.pdf,USENIX,2015,Yes,Existing,"In total, Lis com- posed of 66,509 malicious accounts",No,No,/,Research,Attacker Related,Cybercrime Infrastructure,,19
Muwei,Measuring the longitudinal evolution of the online anonymous marketplace ecosystem,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-soska.pdf,USENIX,2015,Yes,Existing,SilkRoad data,Yes,No,,Research,Attacker Related,Cybercrime Infrastructure,,86
Muwei,Vulnerability Disclosure in the Age of Social Media: Exploiting Twitter for Predicting Real-World Exploits,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/sabottke,USENIX,2015,No,Existing,exploits from ExploitDB,Yes,No,https://www.exploit-db.com,Industry,Attacker Related,Exploits,,18
Muwei,Vulnerability Disclosure in the Age of Social Media: Exploiting Twitter for Predicting Real-World Exploits,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/sabottke,USENIX,2015,No,Existing,exploits from OS-VDB,Yes,No,http://www. osvdb.org,Research,Attacker Related,Exploits,,18
Muwei,Vulnerability Disclosure in the Age of Social Media: Exploiting Twitter for Predicting Real-World Exploits,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/sabottke,USENIX,2015,No,Existing,exploits from Microsoft security advisories,Yes,No,/,Industry,Attacker Related,Exploits,,18
Muwei,Vulnerability Disclosure in the Age of Social Media: Exploiting Twitter for Predicting Real-World Exploits,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/sabottke,USENIX,2015,No,Existing,exploits from Symantec's anti-virus and intrusion protection signatures,Yes,No,http://delivery.acm.org/10.1145/2390000/2382427/p17-allodi.pdf?ip=129.244.98.101&id=2382427&acc=ACTIVE%20SERVICE&key=F82E6B88364EF649%2E7A1E49A63A6E1C24%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&CFID=939631853&CFTOKEN=10862392&__acm__=1495556357_b6dc7f0097fe7ba2e03c4524535834dd,Research,Attacker Related,Exploits,,18
Muwei,A Look at Targeted Attacks Through the Lense of an NGO,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/le-blond,USENIX,2014,No,Existing,we then scraped the National Vulnerability Database [18] to obtain the release date and vulnerable applications for each of the CVEs that we found.,Yes,No,https://nvd.nist.gov/,Government,Attacker Related,Vulnerabilities,,29
Muwei,EASEAndroid: Automatic Policy Analysis and Refinement for Security Enhanced Android via Large-Scale Semi-Supervised Learning,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/wang-ruowen,USENIX,2015,No,Existing,We make use of 1.3 mil- lion audit logs over the entire 2014 from real-world de- vices running Android 4.3,No,No,/,Industry,Defender Artifacts,Alerts,,22
Muwei,An Internet-Wide View of Internet-Wide Scanning,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/durumeric,USENIX,2014,Yes,Existing,Mutiple scan data from scans.io,Yes,No,https://scans.io,Industry,Defender Artifacts,Alerts,,56
Muwei,An Internet-Wide View of Internet-Wide Scanning,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/durumeric,USENIX,2014,Yes,Existing,"Our dataset consists of all traffic received by a dark- net operated at Merit Network for the period from Jan- uary 1, 2013 to May 1, 2014.",Yes,No,,Research,Defender Artifacts,Alerts,,56
Muwei,When Governments Hack Opponents: A Look at Actors and Technology.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/marczak,USENIX,2014,No,Existing,"We searched for the dis- tinctive SSL certificates in two Internet Census service probes, and SSL certificate scans from ZMap [74]. We also contacted a team at TU Munich [75], who applied our fingerprints to their SSL scanning data. Across all of these sources, we obtained 31,345 indicator hits reflecting 555 IP addresses in 48 coun- tries.",Yes,No,ZMap: Fast Internet-Wide Scanning and its Security Applica- tions,Research,Defender Artifacts,Configurations,,22
Muwei,When Governments Hack Opponents: A Look at Actors and Technology.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/marczak,USENIX,2014,No,Existing,"We searched for the dis- tinctive SSL certificates in two Internet Census service probes, and SSL certificate scans from ZMap [74]. We also contacted a team at TU Munich [75], who applied our fingerprints to their SSL scanning data. Across all of these sources, we obtained 31,345 indicator hits reflecting 555 IP addresses in 48 coun- tries.",Yes,No,https://pki.net.in.tum.de/,Research,Defender Artifacts,Configurations,,22
Muwei,Brahmastra: Driving Apps to Test the Security of Third-Party Components,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/bhoraskar,USENIX,2014,No,Existing,"First, for each landing page URL collected, we probe the Web of Trust (WoT) database [9] to get the _蔩child safety_蕽 score.",Yes,No,https://www.mywot.com/,Industry,Defender Artifacts,Configurations,,55
Muwei,On the Practical Exploitability of Dual EC in TLS Implementations,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/checkoway,USENIX,2014,No,Existing,"we correlate SSL certificates extracted from firmware images to those collected by the ZMap project. ZMap was used in [37] to scan the whole IPv4 address space on the 443 port, collecting SSL certificates in a large database.",No,No,/,Research,Defender Artifacts,Configurations,,65
Muwei,A Look at Targeted Attacks Through the Lense of an NGO,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/le-blond,USENIX,2014,No,Existing,"we analyze 1,493 suspicious emails col- lected over a four-year period by two members of the World Uyghur Congress (WUC)",No,No,/,Research,Macro-level Internet Characteristics,Adverse Events,,29
Muwei,BareCloud: Bare-metal Analysis-based Evasive Malware Detection.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kirat,USENIX,2014,No,Existing,"We selected 110,005 samples from the above groups observed during a four months period, starting from July 2013.",Yes,No,http://anubis.iseclab.org/,Research,Macro-level Internet Characteristics,Adverse Events,,78
Muwei,In the Compression Hornet乢_暑恄s Nest: A Security Study of Data Compression in Network Services,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/pellegrino,USENIX,2015,No,Existing,Alexa Top 1000 domains,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,3
Muwei,Protecting Privacy of BLE Device Users',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/fawaz,USENIX,2016,No,Existing,study the behavior of more than 200 types of BLE-equipped devices,No,No,/,Research,Macro-level Internet Characteristics,Applications,,11
Muwei,"Hey, You Have a Problem: On the Feasibility of Large-Scale Web Vulnerability Notification',",https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/stock,USENIX,2016,No,Existing,"Alexa top 10,000",Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,12
Muwei,To Pin or Not to Pin乢_暑_蕽Helping App Developers Bullet Proof Their TLS Connections,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-oltrogge.pdf,USENIX,2015,No,Existing,"apps from Google Play. 639,283 Android applications we down- loaded from Google Play in October 2014",Yes,No,/https://play.google.com/store,Industry,Macro-level Internet Characteristics,Applications,,17
Muwei,Evilcohort: detecting communities of malicious accounts on online services,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-stringhini.pdf,USENIX,2015,Yes,Existing,"this dataset contains 1.2 billion email- sending events, generated by an average of 25 million accounts per day. This data was collected according to the webmail provider乢_暑恄s terms of service, and was only ac- cessed on their premises by a company乢_暑恄s employee.",No,No,/,Industry,Macro-level Internet Characteristics,Applications,,19
Muwei,Evilcohort: detecting communities of malicious accounts on online services,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-stringhini.pdf,USENIX,2015,Yes,Existing,"Our dataset was composed of the emails generated by 21,387,006 distinct online accounts over a period of one day. In total, this dataset contained 72,471,992 emails.",No,No,/,Research,Macro-level Internet Characteristics,Applications,,19
Muwei,Reassembleable Disassembling,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/wang-shuai,USENIX,2015,No,Existing,"The first set, referred to as COREUTILS, is the entire GNU core utilities including 103 utility programs for file, shell, and text manipula- tion",Yes,No,http://www.gnu.org/software/coreutils/coreutils.html,Research,Macro-level Internet Characteristics,Applications,,20
Muwei,Internet Jones and the Raiders of the Lost Trackers: An Archaeological Study of Web Tracking from 1996 to 2016',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/lerner,USENIX,2016,No,Existing,"To conduct our archeological study, we rely on data from the Internet Archive恄s Way- back Machine (https://archive.org). Since 1996, the Wayback Machine has archived full webpages, in- cluding JavaScript, stylesheets, and any resources (in- cluding third-party JavaScript) that it can identify stati- cally from the site contents. It mirrors past snapshots of these webpages on its own servers",Yes,No,https://archive.org,Industry,Macro-level Internet Characteristics,Applications,,21
Muwei,Trends and Lessons from Three Years Fighting Malicious Extensions,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/jagpal,USENIX,2015,No,Existing,"Our evaluation dataset consists of 99,818 extensions scored by WebEval between January 2012乢_暑_蔩2015",Yes,No,https://www.one45.com/products/webeval/,Industry,Macro-level Internet Characteristics,Applications,,21
Muwei,SpanDex: Secure Password Tracking for Android,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/cox,USENIX,2014,No,Existing,we ran 50 popular apps from Google_蔩s Play Store.,Yes,No,/,Industry,Macro-level Internet Characteristics,Applications,evaluation,22
Muwei,Never Been KIST: Tor's Congestion Management Blossoms with Kernel-Informed Socket Transport.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/jansen,USENIX,2014,No,Existing,Tor Metrics Portal,Yes,No,https://metrics.torproject.org,Research,Macro-level Internet Characteristics,Applications,,24
Muwei,Never Been KIST: Tor's Congestion Management Blossoms with Kernel-Informed Socket Transport.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/jansen,USENIX,2014,No,Existing,Alexa,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,24
Muwei,Understanding the Dark Side of Domain Parking,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/alrwais,USENIX,2014,No,Existing,top 100k by Alexa,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,24
Muwei,Understanding the Dark Side of Domain Parking,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/alrwais,USENIX,2014,No,Existing,DailyChanges,Yes,No,http://www. dailychanges.com/,Industry,Macro-level Internet Characteristics,Applications,,24
Muwei,De-anonymizing Programmers via Code Stylometry,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-caliskan-islam.pdf,USENIX,2015,No,Existing,"source code of solutions to programming tasks from the international programming competition Google Code Jam (GCJ), made public in 2008",Yes,No,hhtps://code.google.com/codejam,Industry,Macro-level Internet Characteristics,Applications,,28
Muwei,"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,USENIX,2014,No,Existing,Alexa 1M sites,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,29
Muwei,SSOScan: Automated Testing of Web Applications for Single Sign-On Vulnerabilities.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/zhou,USENIX,2014,No,Existing,"Alexa top 10,000 sites",Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,33
Muwei,Blanket Execution: Dynamic Similarity Testing for Program Binaries and Components,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/egele,USENIX,2014,No,Existing,"In total our dataset consists of 1,140 unique binary applications, comprising 195,560 functions.",Yes,No,coreutils-8.13 suite of programs,Research,Macro-level Internet Characteristics,Applications,,34
Muwei,Password Managers: Attacks and Defenses.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/silver,USENIX,2014,No,Existing,Alexa Top 500 sites,Yes,No,/,Industry,Macro-level Internet Characteristics,Applications,,40
Muwei,Privee: An Architecture for Automatically Analyzing Web Privacy Policies.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/zimmeck,USENIX,2014,No,Existing,Alexa,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,40
Muwei,Burst ORAM: Minimizing ORAM Response Times for Bursty Access Patterns,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/dautrich,USENIX,2014,No,Existing,"The third workload is based on the NetApp Dataset [2, 14], a corporate workload containing file system accesses from over 5000 corporate clients and 2500 engineering clients during 100 days.",Yes,No,/,Industry,Macro-level Internet Characteristics,Applications,,44
Muwei,A Bayesian Approach to Privacy Enforcement in Smartphones.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/tripp,USENIX,2014,No,Existing,"we relied on (i) an extensive study by Hornyack et al. spanning 1,100 top-popular free Android apps",Yes,No,/,Research,Macro-level Internet Characteristics,Applications,evaluation,52
Muwei,Brahmastra: Driving Apps to Test the Security of Third-Party Components,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/bhoraskar,USENIX,2014,No,Existing,"We crawled 12,571 unique apps from the Google Play store from late December 2012 till early January 2013.",Yes,No,/,Industry,Macro-level Internet Characteristics,Applications,,55
Muwei,Brahmastra: Driving Apps to Test the Security of Third-Party Components,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/bhoraskar,USENIX,2014,No,Existing,"To find apps intended for children, we use a list of apps categorized as _蔩Kids_蕽 in Amazon_蔩s Android app store",Yes,No,/,Industry,Macro-level Internet Characteristics,Applications,,55
Muwei,Hulk: Eliciting Malicious Behavior in Browser Extensions.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kapravelos,USENIX,2014,No,Existing,"To evaluate Hulk we use two sources of extensions: the official Chrome Web Store (totaling 47,940 extensions), and extensions sideloaded by binaries. We obtained the latter based on binaries executed in Anubis [1],",Yes,No,google chrome,Industry,Macro-level Internet Characteristics,Applications,evaluation,57
Muwei,Hulk: Eliciting Malicious Behavior in Browser Extensions.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/kapravelos,USENIX,2014,No,Existing,"To evaluate Hulk we use two sources of extensions: the official Chrome Web Store (totaling 47,940 extensions), and extensions sideloaded by binaries. We obtained the latter based on binaries executed in Anubis [1],",Yes,No,http://anubis.iseclab.org/,Research,Macro-level Internet Characteristics,Applications,,57
Muwei,Finding Unknown Malice in 10 Seconds: Mass Vetting for New Threats at the Google-Play Scale,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/chen-kai,USENIX,2015,No,Existing,"We collected 1.2 million apps from 33 Android markets, including over 400,000 from Google Play, 596,437 from 28 app stores in China, 61,866 from European stores and 27,047 from other US stores",Yes,No,/,Industry,Macro-level Internet Characteristics,Applications,,65
Muwei,Effective Attacks and Provable Defenses for Website Fingerprinting.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/wang_tao,USENIX,2014,No,Existing,Alexa,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,85
Muwei,A Comprehensive Measurement Study of Domain Generating Malware',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/plohmann,USENIX,2016,No,Existing,WHOIS dataset,Yes,No,https:// www.domaintools.com/company/,Industry,Macro-level Internet Characteristics,Topology,,6
Muwei,"Hey, You Have a Problem: On the Feasibility of Large-Scale Web Vulnerability Notification',",https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/stock,USENIX,2016,No,Existing,WHOIS dataset,Yes,No,https:// www.domaintools.com/company/,Industry,Macro-level Internet Characteristics,Topology,,12
Muwei,Never Been KIST: Tor's Congestion Management Blossoms with Kernel-Informed Socket Transport.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/jansen,USENIX,2014,No,Existing,"traceroute data from CAIDA [2], and client/server data from the Tor Metrics Portal [8] and Alexa [1].",Yes,No,http://www.caida.org/data,Research,Macro-level Internet Characteristics,Topology,,24
Muwei,Understanding the Dark Side of Domain Parking,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/alrwais,USENIX,2014,No,Existing,PassiveDNS set (DNS record collection) pro- vided by the Security Information Exchange,No,No,/,Research,Macro-level Internet Characteristics,Topology,,24
Muwei,"The Long Taile"" of Typosquatting Domain Names.""",https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/szurdi,USENIX,2014,No,Existing,WHOIS,Yes,No,http://whois.arin.net/ui/,Research,Macro-level Internet Characteristics,Topology,,29
Muwei,RAPTOR: Routing Attacks on Privacy in Tor,https://www.usenix.org/system/files/conference/usenixsecurity15/sec15-paper-sun.pdf,USENIX,2015,No,Existing,gathered BGP updates from Routeviews,Yes,No,http://www.routeviews.org/.,Research,Macro-level Internet Characteristics,Topology,,49
